	ntype
HGNC:2485	protein
HGNC:14374	protein
HGNC:9806	protein
HGNC:21732	protein
HGNC:13180	protein
HGNC:6752	protein
HGNC:17304	protein
HGNC:2385	protein
HGNC:7573	protein
HGNC:14666	protein
HGNC:18667	protein
HGNC:19760	protein
HGNC:19102	protein
HGNC:10628	protein
HGNC:25671	protein
HGNC:11976	protein
HGNC:25950	protein
HGNC:10637	protein
HGNC:24292	protein
HGNC:11012	protein
HGNC:5111	protein
HGNC:8801	protein
HGNC:4456	protein
HGNC:2218	protein
HGNC:9251	protein
HGNC:11443	protein
HGNC:2940	protein
HGNC:2203	protein
HGNC:4696	protein
HGNC:16704	protein
HGNC:14453	protein
HGNC:16977	protein
HGNC:14046	protein
HGNC:6552	protein
HGNC:3122	protein
HGNC:27603	protein
HGNC:11174	protein
HGNC:14410	protein
HGNC:2857	protein
HGNC:12490	protein
HGNC:6149	protein
HGNC:2894	protein
HGNC:28185	protein
HGNC:6451	protein
HGNC:47	protein
HGNC:22962	protein
HGNC:18734	protein
HGNC:16964	protein
HGNC:19096	protein
HGNC:13816	protein
HGNC:15620	protein
HGNC:11849	protein
HGNC:10750	protein
HGNC:10445	protein
HGNC:4183	protein
HGNC:15911	protein
HGNC:33772	protein
HGNC:11503	protein
HGNC:12638	protein
HGNC:15511	protein
HGNC:4115	protein
HGNC:9826	protein
HGNC:14288	protein
HGNC:19141	protein
HGNC:9293	protein
HGNC:8927	protein
HGNC:6333	protein
HGNC:3007	protein
HGNC:17792	protein
HGNC:9257	protein
HGNC:29361	protein
HGNC:30311	protein
HGNC:1633	protein
HGNC:15746	protein
HGNC:4501	protein
HGNC:3289	protein
HGNC:15894	protein
HGNC:1503	protein
HGNC:30881	protein
HGNC:9999	protein
HGNC:5439	protein
HGNC:30300	protein
HGNC:23163	protein
HGNC:11422	protein
HGNC:11821	protein
HGNC:14341	protein
HGNC:10787	protein
HGNC:8052	protein
HGNC:20858	protein
HGNC:20213	protein
HGNC:18056	protein
HGNC:13447	protein
HGNC:18287	protein
HGNC:6731	protein
HGNC:9966	protein
HGNC:28086	protein
HGNC:10731	protein
HGNC:2343	protein
HGNC:23222	protein
HGNC:17943	protein
HGNC:17353	protein
HGNC:7391	protein
HGNC:3964	protein
HGNC:1885	protein
HGNC:1590	protein
HGNC:3245	protein
HGNC:3243	protein
HGNC:26273	protein
HGNC:13949	protein
HGNC:6492	protein
HGNC:29028	protein
HGNC:23166	protein
HGNC:9659	protein
HGNC:869	protein
HGNC:3766	protein
HGNC:14275	protein
HGNC:10310	protein
HGNC:4758	protein
HGNC:3683	protein
HGNC:12419	protein
HGNC:9676	protein
HGNC:100	protein
HGNC:8617	protein
HGNC:18502	protein
HGNC:359	protein
HGNC:15516	protein
HGNC:4948	protein
HGNC:26019	protein
HGNC:18277	protein
HGNC:7437	protein
HGNC:24283	protein
HGNC:18761	protein
HGNC:3252	protein
HGNC:33853	protein
HGNC:9193	protein
HGNC:3685	protein
HGNC:14060	protein
HGNC:7044	protein
HGNC:20639	protein
HGNC:30551	protein
HGNC:16820	protein
HGNC:11777	protein
HGNC:21667	protein
HGNC:1074	protein
HGNC:1706	protein
HGNC:572	protein
HGNC:4097	protein
HGNC:14601	protein
HGNC:24452	protein
HGNC:14418	protein
HGNC:10426	protein
HGNC:19731	protein
HGNC:7451	protein
HGNC:145	protein
HGNC:18264	protein
HGNC:7671	protein
HGNC:17350	protein
HGNC:238	protein
HGNC:2037	protein
HGNC:2040	protein
HGNC:16986	protein
HGNC:16803	protein
HGNC:15489	protein
HGNC:7518	protein
HGNC:17615	protein
HGNC:13764	protein
HGNC:19574	protein
HGNC:1108	protein
HGNC:24132	protein
HGNC:16489	protein
HGNC:6075	protein
HGNC:30513	protein
HGNC:2327	protein
HGNC:17055	protein
HGNC:11178	protein
HGNC:8829	protein
HGNC:8724	protein
HGNC:24262	protein
HGNC:21526	protein
HGNC:2926	protein
HGNC:10803	protein
HGNC:11378	protein
HGNC:5228	protein
HGNC:30550	protein
HGNC:10317	protein
HGNC:25712	protein
HGNC:57	protein
HGNC:1762	protein
HGNC:3578	protein
HGNC:18661	protein
HGNC:15463	protein
HGNC:16971	protein
HGNC:1121	protein
HGNC:13819	protein
HGNC:25590	protein
HGNC:34005	protein
HGNC:23287	protein
HGNC:7586	protein
HGNC:27934	protein
HGNC:2204	protein
HGNC:17736	protein
HGNC:25652	protein
HGNC:6305	protein
HGNC:23526	protein
HGNC:6172	protein
HGNC:12576	protein
HGNC:14944	protein
HGNC:14277	protein
HGNC:11536	protein
HGNC:4591	protein
HGNC:29295	protein
HGNC:20566	protein
HGNC:7512	protein
HGNC:7880	protein
HGNC:9261	protein
HGNC:21393	protein
HGNC:4430	protein
HGNC:18262	protein
HGNC:20391	protein
HGNC:4242	protein
HGNC:443	protein
HGNC:11743	protein
HGNC:4733	protein
HGNC:9774	protein
HGNC:17921	protein
HGNC:11639	protein
HGNC:2198	protein
HGNC:5023	protein
HGNC:6334	protein
HGNC:7516	protein
HGNC:17359	protein
HGNC:4122	protein
HGNC:28643	protein
HGNC:26838	protein
HGNC:7415	protein
HGNC:1316	protein
HGNC:8770	protein
HGNC:6605	protein
HGNC:2455	protein
HGNC:14253	protein
HGNC:17702	protein
HGNC:19907	protein
HGNC:29823	protein
HGNC:27482	protein
HGNC:4687	protein
HGNC:2016	protein
HGNC:3238	protein
HGNC:2191	protein
HGNC:12527	protein
HGNC:2447	protein
HGNC:22938	protein
HGNC:20187	protein
HGNC:7529	protein
HGNC:4568	protein
HGNC:29685	protein
HGNC:19358	protein
HGNC:11559	protein
HGNC:11453	protein
HGNC:8060	protein
HGNC:29132	protein
HGNC:16807	protein
HGNC:6693	protein
HGNC:14006	protein
HGNC:21156	protein
HGNC:5360	protein
HGNC:13082	protein
HGNC:14938	protein
HGNC:6111	protein
HGNC:26891	protein
HGNC:7150	protein
HGNC:17357	protein
HGNC:19077	protein
HGNC:3228	protein
HGNC:4449	protein
HGNC:6030	protein
HGNC:12372	protein
HGNC:15026	protein
HGNC:16393	protein
HGNC:11941	protein
HGNC:17449	protein
HGNC:13076	protein
HGNC:11810	protein
HGNC:8960	protein
HGNC:14247	protein
HGNC:2375	protein
HGNC:11446	protein
HGNC:24835	protein
HGNC:2201	protein
HGNC:4751	protein
HGNC:28826	protein
HGNC:870	protein
HGNC:32395	protein
HGNC:16394	protein
HGNC:13406	protein
HGNC:23060	protein
HGNC:20731	protein
HGNC:14035	protein
HGNC:94	protein
HGNC:7082	protein
HGNC:11200	protein
HGNC:3681	protein
HGNC:12880	protein
HGNC:919	protein
HGNC:5981	protein
HGNC:9390	protein
HGNC:14895	protein
HGNC:1610	protein
HGNC:5389	protein
HGNC:9356	protein
HGNC:9986	protein
HGNC:5005	protein
HGNC:7645	protein
HGNC:7777	protein
HGNC:31834	protein
HGNC:4923	protein
HGNC:5361	protein
HGNC:29312	protein
HGNC:10805	protein
HGNC:2664	protein
HGNC:2041	protein
HGNC:11010	protein
HGNC:15679	protein
HGNC:11313	protein
HGNC:14553	protein
HGNC:23364	protein
HGNC:14294	protein
HGNC:20796	protein
HGNC:30347	protein
HGNC:7981	protein
HGNC:13107	protein
HGNC:29418	protein
HGNC:17282	protein
HGNC:468	protein
HGNC:1082	protein
HGNC:4708	protein
HGNC:3018	protein
HGNC:7760	protein
HGNC:474	protein
HGNC:6709	protein
HGNC:20376	protein
HGNC:13994	protein
HGNC:7217	protein
HGNC:16075	protein
HGNC:7128	protein
HGNC:6003	protein
HGNC:12866	protein
HGNC:1938	protein
HGNC:11907	protein
HGNC:26276	protein
HGNC:6336	protein
HGNC:10703	protein
HGNC:6929	protein
HGNC:11336	protein
HGNC:4369	protein
HGNC:25392	protein
HGNC:26212	protein
HGNC:26496	protein
HGNC:17179	protein
HGNC:4602	protein
HGNC:8883	protein
HGNC:9100	protein
HGNC:2206	protein
HGNC:10571	protein
HGNC:51830	protein
HGNC:9501	protein
HGNC:30681	protein
HGNC:13097	protein
HGNC:30244	protein
HGNC:15018	protein
HGNC:14480	protein
HGNC:23319	protein
HGNC:25226	protein
HGNC:24097	protein
HGNC:13299	protein
HGNC:4040	protein
HGNC:27289	protein
HGNC:29995	protein
HGNC:7839	protein
HGNC:18015	protein
HGNC:17820	protein
HGNC:32681	protein
HGNC:20220	protein
HGNC:24700	protein
HGNC:22800	protein
HGNC:2439	protein
HGNC:46	protein
HGNC:23435	protein
HGNC:25723	protein
HGNC:5056	protein
HGNC:29529	protein
HGNC:18639	protein
HGNC:16793	protein
HGNC:20422	protein
HGNC:14859	protein
HGNC:16832	protein
HGNC:12801	protein
HGNC:20754	protein
HGNC:26347	protein
HGNC:20669	protein
HGNC:25193	protein
HGNC:14276	protein
HGNC:1696	protein
HGNC:26057	protein
HGNC:11063	protein
HGNC:9486	protein
HGNC:23487	protein
HGNC:2053	protein
HGNC:21595	protein
HGNC:9472	protein
HGNC:4216	protein
HGNC:21186	protein
HGNC:7576	protein
HGNC:32669	protein
HGNC:9753	protein
HGNC:14483	protein
HGNC:3006	protein
HGNC:7199	protein
HGNC:11647	protein
HGNC:5448	protein
HGNC:573	protein
HGNC:7173	protein
HGNC:30135	protein
HGNC:16922	protein
HGNC:2893	protein
HGNC:6484	protein
HGNC:1608	protein
HGNC:2358	protein
HGNC:8873	protein
HGNC:3490	protein
HGNC:6454	protein
HGNC:14037	protein
HGNC:13006	protein
HGNC:11182	protein
HGNC:5422	protein
HGNC:6522	protein
HGNC:2966	protein
HGNC:11428	protein
HGNC:4867	protein
HGNC:1604	protein
HGNC:18681	protein
HGNC:15766	protein
HGNC:16469	protein
HGNC:29131	protein
HGNC:9500	protein
HGNC:13069	protein
HGNC:3368	protein
HGNC:24085	protein
HGNC:14935	protein
HGNC:11369	protein
HGNC:11793	protein
HGNC:12479	protein
HGNC:8023	protein
HGNC:1643	protein
HGNC:3687	protein
HGNC:3677	protein
HGNC:12706	protein
HGNC:2905	protein
HGNC:27288	protein
HGNC:1569	protein
HGNC:12554	protein
HGNC:12783	protein
HGNC:26267	protein
HGNC:13941	protein
HGNC:7578	protein
HGNC:11949	protein
HGNC:20074	protein
HGNC:24594	protein
HGNC:31670	protein
HGNC:21411	protein
HGNC:15663	protein
HGNC:10537	protein
HGNC:17718	protein
HGNC:811	protein
HGNC:806	protein
HGNC:13658	protein
HGNC:9086	protein
HGNC:7572	protein
HGNC:10249	protein
HGNC:10642	protein
HGNC:24649	protein
HGNC:8925	protein
HGNC:11085	protein
HGNC:4544	protein
HGNC:18539	protein
HGNC:12339	protein
HGNC:26479	protein
HGNC:2035	protein
HGNC:18356	protein
HGNC:14558	protein
HGNC:9495	protein
HGNC:29517	protein
HGNC:11495	protein
HGNC:2475	protein
HGNC:16077	protein
HGNC:7859	protein
HGNC:25697	protein
HGNC:14478	protein
HGNC:7020	protein
HGNC:9039	protein
HGNC:24750	protein
HGNC:5178	protein
HGNC:239	protein
HGNC:17662	protein
HGNC:6766	protein
HGNC:28005	protein
HGNC:18858	protein
HGNC:1801	protein
HGNC:3519	protein
HGNC:25477	protein
HGNC:7622	protein
HGNC:18363	protein
HGNC:18364	protein
HGNC:3619	protein
HGNC:10639	protein
HGNC:24201	protein
HGNC:20857	protein
HGNC:13098	protein
HGNC:9762	protein
HGNC:20797	protein
HGNC:12590	protein
HGNC:13671	protein
HGNC:20412	protein
HGNC:842	protein
HGNC:4015	protein
HGNC:2185	protein
HGNC:17710	protein
HGNC:7471	protein
HGNC:16412	protein
HGNC:3070	protein
HGNC:30376	protein
HGNC:20862	protein
HGNC:14686	protein
HGNC:25525	protein
HGNC:17379	protein
HGNC:4452	protein
HGNC:430	protein
HGNC:5985	protein
HGNC:1611	protein
HGNC:19093	protein
HGNC:11642	protein
HGNC:14522	protein
HGNC:3367	protein
HGNC:21868	protein
HGNC:8983	protein
HGNC:18709	protein
HGNC:17198	protein
HGNC:22985	protein
HGNC:24457	protein
HGNC:5008	protein
HGNC:12957	protein
HGNC:13111	protein
HGNC:11249	protein
HGNC:9197	protein
HGNC:743	protein
HGNC:17997	protein
HGNC:1666	protein
HGNC:14287	protein
HGNC:13023	protein
HGNC:7090	protein
HGNC:23614	protein
HGNC:4594	protein
HGNC:16877	protein
HGNC:10799	protein
HGNC:26777	protein
HGNC:3978	protein
HGNC:10322	protein
HGNC:4738	protein
HGNC:29612	protein
HGNC:4593	protein
HGNC:5471	protein
HGNC:255	protein
HGNC:3071	protein
HGNC:433	protein
HGNC:1673	protein
HGNC:15781	protein
HGNC:10522	protein
HGNC:2855	protein
HGNC:928	protein
HGNC:2210	protein
HGNC:7527	protein
HGNC:14048	protein
HGNC:8968	protein
HGNC:18967	protein
HGNC:14289	protein
HGNC:17843	protein
HGNC:1645	protein
HGNC:9351	protein
HGNC:16140	protein
HGNC:30267	protein
HGNC:21285	protein
HGNC:10050	protein
HGNC:27815	protein
HGNC:18883	protein
HGNC:16016	protein
HGNC:2939	protein
HGNC:491	protein
HGNC:16232	protein
HGNC:11241	protein
HGNC:23304	protein
HGNC:6826	protein
HGNC:4019	protein
HGNC:25133	protein
HGNC:31865	protein
HGNC:1477	protein
HGNC:4006	protein
HGNC:12553	protein
HGNC:10447	protein
HGNC:14490	protein
HGNC:21181	protein
HGNC:1600	protein
HGNC:28528	protein
HGNC:12546	protein
HGNC:8956	protein
HGNC:23747	protein
HGNC:1971	protein
HGNC:4806	protein
HGNC:2698	protein
HGNC:6483	protein
HGNC:10622	protein
HGNC:10878	protein
HGNC:17175	protein
HGNC:714	protein
HGNC:26401	protein
HGNC:16148	protein
HGNC:7048	protein
HGNC:15586	protein
HGNC:21719	protein
HGNC:18479	protein
HGNC:23494	protein
HGNC:26032	protein
HGNC:3666	protein
HGNC:7193	protein
HGNC:12693	protein
HGNC:14573	protein
HGNC:17625	protein
HGNC:21328	protein
HGNC:1754	protein
HGNC:16176	protein
HGNC:17972	protein
HGNC:10915	protein
HGNC:21478	protein
HGNC:1071	protein
HGNC:1478	protein
HGNC:30936	protein
HGNC:28684	protein
HGNC:8905	protein
HGNC:17352	protein
HGNC:13158	protein
HGNC:16669	protein
HGNC:13806	protein
HGNC:17474	protein
HGNC:25575	protein
HGNC:2045	protein
HGNC:2532	protein
HGNC:13139	protein
HGNC:25686	protein
HGNC:7237	protein
HGNC:24288	protein
HGNC:1338	protein
HGNC:5318	protein
HGNC:11524	protein
HGNC:2025	protein
HGNC:2960	protein
HGNC:23061	protein
HGNC:25471	protein
HGNC:920	protein
HGNC:15967	protein
HGNC:11494	protein
HGNC:29302	protein
HGNC:1836	protein
HGNC:8086	protein
HGNC:1248	protein
HGNC:25370	protein
HGNC:7958	protein
HGNC:29990	protein
HGNC:31710	protein
HGNC:21695	protein
HGNC:5363	protein
HGNC:32036	protein
HGNC:10645	protein
HGNC:5283	protein
HGNC:9155	protein
HGNC:9157	protein
HGNC:16759	protein
HGNC:7551	protein
HGNC:3327	protein
HGNC:29267	protein
HGNC:13448	protein
HGNC:7102	protein
HGNC:18501	protein
HGNC:10609	protein
HGNC:14982	protein
HGNC:24041	protein
HGNC:9059	protein
HGNC:25516	protein
HGNC:11517	protein
HGNC:7015	protein
HGNC:6000	protein
HGNC:19218	protein
HGNC:20488	protein
HGNC:8618	protein
HGNC:7762	protein
HGNC:38606	protein
HGNC:20844	protein
HGNC:30570	protein
HGNC:5464	protein
HGNC:7315	protein
HGNC:20575	protein
HGNC:11553	protein
HGNC:26801	protein
HGNC:17760	protein
HGNC:8056	protein
HGNC:2195	protein
HGNC:6738	protein
HGNC:8994	protein
HGNC:24337	protein
HGNC:24338	protein
HGNC:2211	protein
HGNC:6438	protein
HGNC:14450	protein
HGNC:4947	protein
HGNC:20321	protein
HGNC:35465	protein
HGNC:16873	protein
HGNC:17995	protein
HGNC:4642	protein
HGNC:6071	protein
HGNC:6347	protein
HGNC:4603	protein
HGNC:15961	protein
HGNC:21723	protein
HGNC:5428	protein
HGNC:24595	protein
HGNC:17163	protein
HGNC:19239	protein
HGNC:12568	protein
HGNC:11993	protein
HGNC:14477	protein
HGNC:5193	protein
HGNC:29890	protein
HGNC:8506	protein
HGNC:19877	protein
HGNC:8898	protein
HGNC:26337	protein
HGNC:9863	protein
HGNC:16633	protein
HGNC:24436	protein
HGNC:14683	protein
HGNC:14988	protein
HGNC:11344	protein
HGNC:30251	protein
HGNC:23927	protein
HGNC:7161	protein
HGNC:18168	protein
HGNC:13887	protein
HGNC:13886	protein
HGNC:17432	protein
HGNC:12975	protein
HGNC:12786	protein
HGNC:12980	protein
HGNC:16876	protein
HGNC:18527	protein
HGNC:10966	protein
HGNC:3513	protein
HGNC:2038	protein
HGNC:8723	protein
HGNC:5022	protein
HGNC:18069	protein
HGNC:2289	protein
HGNC:24269	protein
HGNC:30487	protein
HGNC:23531	protein
HGNC:10611	protein
HGNC:5967	protein
HGNC:4061	protein
HGNC:30613	protein
HGNC:11087	protein
HGNC:16467	protein
HGNC:34423	protein
HGNC:2950	protein
HGNC:3345	protein
HGNC:33196	protein
HGNC:13817	protein
HGNC:14943	protein
HGNC:39	protein
HGNC:18969	protein
HGNC:6377	protein
HGNC:7994	protein
HGNC:18584	protein
HGNC:3438	protein
HGNC:13812	protein
HGNC:26063	protein
HGNC:16272	protein
HGNC:20305	protein
HGNC:3073	protein
HGNC:9362	protein
HGNC:14645	protein
HGNC:20964	protein
HGNC:10536	protein
HGNC:17851	protein
HGNC:21705	protein
HGNC:237	protein
HGNC:9348	protein
HGNC:4042	protein
HGNC:18407	protein
HGNC:2964	protein
HGNC:18439	protein
HGNC:16795	protein
HGNC:28119	protein
HGNC:4389	protein
HGNC:7523	protein
HGNC:29565	protein
HGNC:27610	protein
HGNC:10987	protein
HGNC:816	protein
HGNC:7565	protein
HGNC:365	protein
HGNC:10905	protein
HGNC:6708	protein
HGNC:11335	protein
HGNC:4807	protein
HGNC:7778	protein
HGNC:9338	protein
HGNC:1492	protein
HGNC:12636	protein
HGNC:1549	protein
HGNC:679	protein
HGNC:9347	protein
HGNC:18137	protein
HGNC:12863	protein
HGNC:16516	protein
HGNC:14640	protein
HGNC:2153	protein
HGNC:15527	protein
HGNC:3678	protein
HGNC:28711	protein
HGNC:29590	protein
HGNC:30052	protein
HGNC:8967	protein
HGNC:15503	protein
HGNC:18398	protein
HGNC:16460	protein
HGNC:10798	protein
HGNC:30142	protein
HGNC:28526	protein
HGNC:18958	protein
HGNC:33	protein
HGNC:7226	protein
HGNC:26421	protein
HGNC:9609	protein
HGNC:16066	protein
HGNC:17680	protein
HGNC:23197	protein
HGNC:31963	protein
HGNC:233	protein
HGNC:10616	protein
HGNC:8619	protein
HGNC:24552	protein
HGNC:10735	protein
HGNC:33856	protein
HGNC:30266	protein
HGNC:18762	protein
HGNC:26811	protein
HGNC:11233	protein
HGNC:19195	protein
HGNC:11923	protein
HGNC:15685	protein
HGNC:3622	protein
HGNC:18554	protein
HGNC:9767	protein
HGNC:10975	protein
HGNC:7376	protein
HGNC:558	protein
HGNC:18867	protein
HGNC:10485	protein
HGNC:7737	protein
HGNC:8010	protein
HGNC:12993	protein
HGNC:634	protein
HGNC:6621	protein
HGNC:21869	protein
HGNC:2208	protein
HGNC:12769	protein
HGNC:7224	protein
HGNC:17228	protein
HGNC:33106	protein
HGNC:10623	protein
HGNC:6315	protein
HGNC:28605	protein
HGNC:484	protein
HGNC:6553	protein
HGNC:17381	protein
HGNC:26526	protein
HGNC:30758	protein
HGNC:24521	protein
HGNC:14878	protein
HGNC:4383	protein
HGNC:88	protein
HGNC:20508	protein
HGNC:18371	protein
HGNC:23537	protein
HGNC:6280	protein
HGNC:4417	protein
HGNC:17090	protein
HGNC:4128	protein
HGNC:20151	protein
HGNC:17513	protein
HGNC:3512	protein
HGNC:13595	protein
HGNC:2851	protein
HGNC:13014	protein
HGNC:13018	protein
HGNC:7956	protein
HGNC:24933	protein
HGNC:12730	protein
HGNC:4117	protein
HGNC:23145	protein
HGNC:2172	protein
HGNC:51829	protein
HGNC:4410	protein
HGNC:21165	protein
HGNC:30931	protein
HGNC:11753	protein
HGNC:9115	protein
HGNC:6450	protein
HGNC:16259	protein
HGNC:4379	protein
HGNC:14479	protein
HGNC:14036	protein
HGNC:4140	protein
HGNC:30322	protein
HGNC:6776	protein
HGNC:2018	protein
HGNC:11028	protein
HGNC:11915	protein
HGNC:16147	protein
HGNC:17224	protein
HGNC:17858	protein
HGNC:6262	protein
HGNC:15664	protein
HGNC:15626	protein
HGNC:20667	protein
HGNC:13003	protein
HGNC:21628	protein
HGNC:2076	protein
HGNC:7984	protein
HGNC:15791	protein
HGNC:3074	protein
HGNC:18374	protein
HGNC:15100	protein
HGNC:27268	protein
HGNC:2458	protein
HGNC:4125	protein
HGNC:19237	protein
HGNC:13016	protein
HGNC:20808	protein
HGNC:15765	protein
HGNC:19366	protein
HGNC:11863	protein
HGNC:6645	protein
HGNC:10955	protein
HGNC:23801	protein
HGNC:3959	protein
HGNC:24814	protein
HGNC:25985	protein
HGNC:815	protein
HGNC:4208	protein
HGNC:26629	protein
HGNC:4589	protein
HGNC:3769	protein
HGNC:10906	protein
HGNC:11754	protein
HGNC:16028	protein
HGNC:8380	protein
HGNC:19299	protein
HGNC:4979	protein
HGNC:918	protein
HGNC:12337	protein
HGNC:30034	protein
HGNC:746	protein
HGNC:21240	protein
HGNC:571	protein
HGNC:30349	protein
HGNC:19818	protein
HGNC:9582	protein
HGNC:8851	protein
HGNC:6273	protein
HGNC:10612	protein
HGNC:28990	protein
HGNC:2995	protein
HGNC:10996	protein
HGNC:10963	protein
HGNC:22004	protein
HGNC:567	protein
HGNC:17809	protein
HGNC:23442	protein
HGNC:17135	protein
HGNC:18130	protein
HGNC:19069	protein
HGNC:12991	protein
HGNC:1756	protein
HGNC:7174	protein
HGNC:23749	protein
HGNC:5988	protein
HGNC:11787	protein
HGNC:11788	protein
HGNC:18585	protein
HGNC:18229	protein
HGNC:37073	protein
HGNC:20649	protein
HGNC:13629	protein
HGNC:17697	protein
HGNC:19691	protein
HGNC:19133	protein
HGNC:15562	protein
HGNC:30581	protein
HGNC:1096	protein
HGNC:30488	protein
HGNC:4268	protein
HGNC:8343	protein
HGNC:24063	protein
HGNC:5972	protein
HGNC:12942	protein
HGNC:20312	protein
HGNC:20208	protein
HGNC:13528	protein
HGNC:17687	protein
HGNC:13797	protein
HGNC:1637	protein
HGNC:12971	protein
HGNC:7650	protein
HGNC:19650	protein
HGNC:17412	protein
HGNC:6905	protein
HGNC:14323	protein
HGNC:11795	protein
HGNC:12261	protein
HGNC:15851	protein
HGNC:2049	protein
HGNC:15899	protein
HGNC:17054	protein
HGNC:8909	protein
HGNC:15328	protein
HGNC:4382	protein
HGNC:23302	protein
HGNC:123	protein
HGNC:12299	protein
HGNC:6933	protein
HGNC:2535	protein
HGNC:17027	protein
HGNC:4014	protein
HGNC:841	protein
HGNC:11324	protein
HGNC:5185	protein
HGNC:11019	protein
HGNC:5007	protein
HGNC:30450	protein
HGNC:10938	protein
HGNC:6375	protein
HGNC:861	protein
HGNC:17777	protein
HGNC:2605	protein
HGNC:1339	protein
HGNC:808	protein
HGNC:742	protein
HGNC:24593	protein
HGNC:922	protein
HGNC:28673	protein
HGNC:7225	protein
HGNC:21648	protein
HGNC:30863	protein
HGNC:11985	protein
HGNC:9344	protein
HGNC:4395	protein
HGNC:20582	protein
HGNC:15687	protein
HGNC:17819	protein
HGNC:9043	protein
HGNC:9586	protein
HGNC:17976	protein
HGNC:4405	protein
HGNC:4394	protein
HGNC:7454	protein
HGNC:16825	protein
HGNC:14234	protein
HGNC:33383	protein
HGNC:23149	protein
HGNC:2516	protein
HGNC:12877	protein
HGNC:11645	protein
HGNC:29956	protein
HGNC:23041	protein
HGNC:29555	protein
HGNC:28197	protein
HGNC:18413	protein
HGNC:14198	protein
HGNC:1529	protein
HGNC:6330	protein
HGNC:17427	protein
HGNC:20588	protein
HGNC:10726	protein
HGNC:22942	protein
HGNC:27994	protein
HGNC:8028	protein
HGNC:13078	protein
HGNC:11640	protein
HGNC:20493	protein
HGNC:13378	protein
HGNC:2767	protein
HGNC:5358	protein
HGNC:17785	protein
HGNC:29353	protein
HGNC:13047	protein
HGNC:19139	protein
HGNC:14912	protein
HGNC:32926	protein
HGNC:33480	protein
HGNC:4071	protein
HGNC:30768	protein
HGNC:21406	protein
HGNC:16924	protein
HGNC:17661	protein
HGNC:1075	protein
HGNC:4700	protein
HGNC:6623	protein
HGNC:13154	protein
HGNC:20647	protein
HGNC:29425	protein
HGNC:6821	protein
HGNC:3663	protein
HGNC:28192	protein
HGNC:26889	protein
HGNC:2521	protein
HGNC:2522	protein
HGNC:4114	protein
HGNC:6901	protein
HGNC:13765	protein
HGNC:3249	protein
HGNC:16175	protein
HGNC:1864	protein
HGNC:6490	protein
HGNC:3686	protein
HGNC:9280	protein
HGNC:13166	protein
HGNC:20824	protein
HGNC:8514	protein
HGNC:25452	protein
HGNC:5989	protein
HGNC:13666	protein
HGNC:11774	protein
HGNC:31955	protein
HGNC:2227	protein
HGNC:5345	protein
HGNC:15993	protein
HGNC:28596	protein
HGNC:7216	protein
HGNC:735	protein
HGNC:23026	protein
HGNC:1786	protein
HGNC:20812	protein
HGNC:34403	protein
HGNC:30042	protein
HGNC:2771	protein
HGNC:28405	protein
HGNC:23399	protein
HGNC:26573	protein
HGNC:12862	protein
HGNC:12388	protein
HGNC:6730	protein
HGNC:24240	protein
HGNC:20266	protein
HGNC:236	protein
HGNC:30261	protein
HGNC:29540	protein
HGNC:16267	protein
HGNC:12776	protein
HGNC:10521	protein
HGNC:12966	protein
HGNC:8893	protein
HGNC:14639	protein
HGNC:10890	protein
HGNC:9160	protein
HGNC:11069	protein
HGNC:27396	protein
HGNC:2953	protein
HGNC:99	protein
HGNC:24437	protein
HGNC:12958	protein
HGNC:13057	protein
HGNC:24289	protein
HGNC:38709	protein
HGNC:18855	protein
HGNC:15598	protein
HGNC:434	protein
HGNC:26307	protein
HGNC:27023	protein
HGNC:4691	protein
HGNC:37246	protein
HGNC:22931	protein
HGNC:934	protein
HGNC:4604	protein
HGNC:13815	protein
HGNC:12784	protein
HGNC:18049	protein
HGNC:10631	protein
HGNC:30521	protein
HGNC:30500	protein
HGNC:13530	protein
HGNC:10967	protein
HGNC:12992	protein
HGNC:20392	protein
HGNC:24925	protein
HGNC:12779	protein
HGNC:2150	protein
HGNC:30010	protein
HGNC:17290	protein
HGNC:3827	protein
HGNC:4181	protein
HGNC:13853	protein
HGNC:17197	protein
HGNC:21155	protein
HGNC:17256	protein
HGNC:30580	protein
HGNC:2858	protein
HGNC:8996	protein
HGNC:19743	protein
HGNC:29393	protein
HGNC:4689	protein
HGNC:6604	protein
HGNC:6602	protein
HGNC:9463	protein
HGNC:3363	protein
HGNC:2207	protein
HGNC:29228	protein
HGNC:2015	protein
HGNC:10624	protein
HGNC:25009	protein
HGNC:23705	protein
HGNC:5423	protein
HGNC:15897	protein
HGNC:4951	protein
HGNC:29597	protein
HGNC:8621	protein
HGNC:487	protein
HGNC:6144	protein
HGNC:2528	protein
HGNC:3358	protein
HGNC:4192	protein
HGNC:29280	protein
HGNC:7452	protein
HGNC:10887	protein
HGNC:549	protein
HGNC:1472	protein
HGNC:17868	protein
HGNC:3357	protein
HGNC:8482	protein
HGNC:12970	protein
HGNC:10861	protein
HGNC:3672	protein
HGNC:1337	protein
HGNC:4484	protein
HGNC:8374	protein
HGNC:4118	protein
HGNC:24616	protein
HGNC:5147	protein
HGNC:24883	protein
HGNC:9228	protein
HGNC:6631	protein
HGNC:23258	protein
HGNC:28042	protein
HGNC:3146	protein
HGNC:13091	protein
HGNC:28962	protein
HGNC:43619	protein
HGNC:13375	protein
HGNC:11018	protein
HGNC:15471	protein
