	ntype
HGNC:4573	protein
HGNC:4581	protein
HGNC:10940	protein
HGNC:10939	protein
HGNC:10941	protein
HGNC:8863	protein
HGNC:8849	protein
HGNC:29832	protein
HGNC:10945	protein
HGNC:8149	protein
HGNC:4576	protein
HGNC:10944	protein
HGNC:3355	protein
HGNC:29419	protein
HGNC:21016	protein
HGNC:17996	protein
HGNC:10988	protein
HGNC:19954	protein
HGNC:2981	protein
HGNC:4575	protein
HGNC:16910	protein
DRUGBANK:DB00143	drug
HGNC:4624	protein
HGNC:4623	protein
HGNC:4632	protein
HGNC:16906	protein
HGNC:4628	protein
HGNC:4635	protein
HGNC:4629	protein
HGNC:4636	protein
HGNC:19662	protein
HGNC:4638	protein
HGNC:13312	protein
HGNC:4553	protein
HGNC:4554	protein
HGNC:4641	protein
HGNC:4643	protein
HGNC:4557	protein
HGNC:4555	protein
HGNC:4250	protein
HGNC:4323	protein
HGNC:6719	protein
HGNC:4556	protein
HGNC:17890	protein
HGNC:4634	protein
HGNC:4805	protein
HGNC:4627	protein
HGNC:7064	protein
HGNC:24626	protein
HGNC:4626	protein
HGNC:7061	protein
HGNC:3465	protein
HGNC:4330	protein
HGNC:4637	protein
HGNC:4558	protein
HGNC:33100	protein
HGNC:4559	protein
HGNC:7063	protein
HGNC:23064	protein
HGNC:16065	protein
HGNC:381	protein
HGNC:7176	protein
HGNC:2637	protein
DRUGBANK:DB00145	drug
HGNC:4162	protein
HGNC:932	protein
HGNC:4472	protein
HGNC:13734	protein
HGNC:24178	protein
HGNC:30519	protein
HGNC:17804	protein
HGNC:4326	protein
HGNC:4329	protein
HGNC:4328	protein
HGNC:4327	protein
DRUGBANK:DB00146	drug
HGNC:12679	protein
DRUGBANK:DB00148	drug
HGNC:1994	protein
HGNC:31736	protein
HGNC:1991	protein
HGNC:1996	protein
HGNC:11055	protein
HGNC:4136	protein
DRUGBANK:DB00151	drug
HGNC:1795	protein
HGNC:1493	protein
HGNC:16266	protein
HGNC:7059	protein
HGNC:25695	protein
DRUGBANK:DB00152	drug
HGNC:17358	protein
DRUGBANK:DB00153	drug
HGNC:1405	protein
HGNC:1406	protein
HGNC:1407	protein
HGNC:1408	protein
HGNC:1409	protein
HGNC:13625	protein
HGNC:13626	protein
HGNC:13628	protein
HGNC:1399	protein
HGNC:1400	protein
HGNC:15460	protein
HGNC:20202	protein
HGNC:1390	protein
HGNC:1391	protein
HGNC:1393	protein
HGNC:1397	protein
HGNC:1401	protein
HGNC:1402	protein
HGNC:1403	protein
HGNC:1404	protein
HGNC:1389	protein
HGNC:1388	protein
HGNC:1392	protein
HGNC:1394	protein
HGNC:1395	protein
HGNC:1396	protein
DRUGBANK:DB00156	drug
HGNC:11572	protein
HGNC:30740	protein
DRUGBANK:DB00157	drug
HGNC:5211	protein
HGNC:7863	protein
HGNC:253	protein
HGNC:473	protein
HGNC:5384	protein
HGNC:7719	protein
HGNC:2860	protein
HGNC:7715	protein
HGNC:13398	protein
HGNC:5217	protein
HGNC:5218	protein
HGNC:2896	protein
HGNC:6541	protein
HGNC:7684	protein
HGNC:7712	protein
HGNC:7713	protein
HGNC:10545	protein
HGNC:21481	protein
HGNC:384	protein
HGNC:4907	protein
HGNC:5209	protein
HGNC:404	protein
HGNC:877	protein
HGNC:7717	protein
HGNC:6984	protein
HGNC:6544	protein
HGNC:2873	protein
HGNC:8923	protein
HGNC:8124	protein
HGNC:7687	protein
HGNC:7706	protein
HGNC:1027	protein
HGNC:5215	protein
HGNC:7710	protein
HGNC:411	protein
HGNC:5210	protein
HGNC:7458	protein
HGNC:4455	protein
HGNC:7690	protein
HGNC:7856	protein
HGNC:7683	protein
HGNC:9721	protein
HGNC:249	protein
HGNC:7179	protein
HGNC:7700	protein
HGNC:406	protein
HGNC:7696	protein
HGNC:12442	protein
HGNC:4801	protein
HGNC:7434	protein
HGNC:7460	protein
HGNC:7698	protein
HGNC:412	protein
HGNC:7699	protein
HGNC:28335	protein
HGNC:11184	protein
HGNC:7693	protein
HGNC:7714	protein
HGNC:7705	protein
HGNC:4800	protein
HGNC:29836	protein
HGNC:6985	protein
HGNC:5208	protein
HGNC:2861	protein
HGNC:5212	protein
HGNC:7695	protein
HGNC:2593	protein
HGNC:7462	protein
HGNC:4795	protein
HGNC:252	protein
HGNC:7692	protein
HGNC:7701	protein
HGNC:4799	protein
HGNC:250	protein
HGNC:7691	protein
HGNC:5213	protein
HGNC:2642	protein
HGNC:6535	protein
HGNC:7697	protein
HGNC:387	protein
HGNC:410	protein
HGNC:251	protein
HGNC:7688	protein
HGNC:407	protein
HGNC:7716	protein
HGNC:7707	protein
HGNC:7711	protein
HGNC:7455	protein
HGNC:7702	protein
HGNC:15472	protein
HGNC:256	protein
HGNC:17194	protein
HGNC:9752	protein
HGNC:20371	protein
HGNC:4141	protein
HGNC:7694	protein
HGNC:7685	protein
HGNC:7459	protein
HGNC:5154	protein
HGNC:402	protein
HGNC:5385	protein
HGNC:9940	protein
HGNC:8806	protein
HGNC:5006	protein
HGNC:3554	protein
HGNC:7461	protein
HGNC:409	protein
HGNC:3247	protein
HGNC:5014	protein
HGNC:6970	protein
HGNC:386	protein
HGNC:7704	protein
HGNC:403	protein
HGNC:6983	protein
HGNC:8807	protein
HGNC:7432	protein
HGNC:385	protein
HGNC:12525	protein
HGNC:7456	protein
HGNC:12390	protein
HGNC:7703	protein
HGNC:7686	protein
HGNC:405	protein
HGNC:24864	protein
HGNC:6053	protein
HGNC:30262	protein
HGNC:7708	protein
HGNC:5013	protein
HGNC:2898	protein
HGNC:1062	protein
HGNC:23987	protein
HGNC:6052	protein
HGNC:90	protein
HGNC:5386	protein
HGNC:6971	protein
DRUGBANK:DB00158	drug
HGNC:3793	protein
HGNC:3795	protein
HGNC:3791	protein
DRUGBANK:DB00159	drug
HGNC:9605	protein
HGNC:9604	protein
HGNC:3571	protein
HGNC:3570	protein
HGNC:4498	protein
DRUGBANK:DB00161	drug
HGNC:12651	protein
DRUGBANK:DB00162	drug
HGNC:16985	protein
HGNC:19978	protein
HGNC:19977	protein
HGNC:6685	protein
HGNC:17693	protein
HGNC:25991	protein
HGNC:17964	protein
HGNC:19979	protein
HGNC:14423	protein
HGNC:612	protein
HGNC:9592	protein
DRUGBANK:DB00163	drug
HGNC:20627	protein
HGNC:435	protein
HGNC:10699	protein
HGNC:18655	protein
HGNC:9395	protein
HGNC:7968	protein
HGNC:9393	protein
HGNC:2849	protein
HGNC:9300	protein
HGNC:9299	protein
DRUGBANK:DB00165	drug
HGNC:8819	protein
DRUGBANK:DB00166	drug
HGNC:29569	protein
HGNC:11041	protein
HGNC:16429	protein
DRUGBANK:DB00169	drug
DRUGBANK:DB00170	drug
HGNC:23663	protein
HGNC:21492	protein
HGNC:3535	protein
HGNC:3544	protein
HGNC:3551	protein
HGNC:3528	protein
HGNC:9451	protein
HGNC:9456	protein
HGNC:9460	protein
HGNC:2874	protein
HGNC:1043	protein
DRUGBANK:DB00173	drug
HGNC:626	protein
HGNC:7413	protein
HGNC:18281	protein
HGNC:122	protein
HGNC:11306	protein
DRUGBANK:DB00174	drug
HGNC:10943	protein
HGNC:18044	protein
HGNC:7643	protein
HGNC:26274	protein
DRUGBANK:DB00175	drug
HGNC:4853	protein
DRUGBANK:DB00176	drug
HGNC:11050	protein
HGNC:6251	protein
DRUGBANK:DB00178	drug
HGNC:1029	protein
DRUGBANK:DB00179	drug
HGNC:10839	protein
DRUGBANK:DB00181	drug
HGNC:4070	protein
HGNC:4507	protein
DRUGBANK:DB00182	drug
HGNC:10935	protein
HGNC:11049	protein
HGNC:24323	protein
HGNC:17734	protein
HGNC:11048	protein
HGNC:277	protein
HGNC:278	protein
HGNC:280	protein
HGNC:281	protein
HGNC:282	protein
HGNC:283	protein
HGNC:285	protein
HGNC:286	protein
HGNC:288	protein
HGNC:3023	protein
HGNC:6834	protein
HGNC:6833	protein
DRUGBANK:DB00183	drug
HGNC:1571	protein
DRUGBANK:DB00184	drug
HGNC:1962	protein
HGNC:1956	protein
HGNC:1959	protein
HGNC:15963	protein
HGNC:1963	protein
